date,time,end_time,venue,title,source,status,note,url
2026-04-03,06:30,22:00,3号（ガーデンふ頭）,ヘリテージ・アドベンチャラー,名古屋港管理組合,confirmed,クルーズ船,https://www.port-of-nagoya.jp/_res/projects/default_project/_page_/001/002/548/nyuukouyotei.pdf
2026-04-04,10:00,09:30,3号（ガーデンふ頭）,レガッタ,名古屋港管理組合,confirmed,クルーズ船,https://www.port-of-nagoya.jp/_res/projects/default_project/_page_/001/002/548/nyuukouyotei.pdf
2026-04-10,09:00,17:00,3号（ガーデンふ頭）,飛鳥Ⅱ,名古屋港管理組合,confirmed,クルーズ船,https://www.port-of-nagoya.jp/_res/projects/default_project/_page_/001/002/548/nyuukouyotei.pdf
2026-04-13,10:00,18:30,3号（ガーデンふ頭）,にっぽん丸,名古屋港管理組合,confirmed,クルーズ船,https://www.port-of-nagoya.jp/_res/projects/default_project/_page_/001/002/548/nyuukouyotei.pdf
2026-04-15,09:00,17:00,3号（ガーデンふ頭）,飛鳥Ⅱ,名古屋港管理組合,confirmed,クルーズ船,https://www.port-of-nagoya.jp/_res/projects/default_project/_page_/001/002/548/nyuukouyotei.pdf
2026-04-16,08:30,17:00,3号（ガーデンふ頭）,にっぽん丸,名古屋港管理組合,confirmed,クルーズ船,https://www.port-of-nagoya.jp/_res/projects/default_project/_page_/001/002/548/nyuukouyotei.pdf
2026-04-20,09:30,18:00,3号（ガーデンふ頭）,セブンシーズ エクスプローラー,名古屋港管理組合,confirmed,クルーズ船,https://www.port-of-nagoya.jp/_res/projects/default_project/_page_/001/002/548/nyuukouyotei.pdf
2026-05-19,08:30,16:00,3号（ガーデンふ頭）,三井オーシャンフジ,名古屋港管理組合,confirmed,クルーズ船,https://www.port-of-nagoya.jp/_res/projects/default_project/_page_/001/002/548/nyuukouyotei.pdf
2026-05-26,07:30,16:00,3号（ガーデンふ頭）,三井オーシャンフジ,名古屋港管理組合,confirmed,クルーズ船,https://www.port-of-nagoya.jp/_res/projects/default_project/_page_/001/002/548/nyuukouyotei.pdf
2026-08-12,10:30,19:30,80・81号（金城ふ頭）,スペクトラム・オブ・ザ・シーズ,名古屋港管理組合,confirmed,クルーズ船,https://www.port-of-nagoya.jp/_res/projects/default_project/_page_/001/002/548/nyuukouyotei.pdf
