date,time,end_time,venue,title,source,status,note,url
2026-06-18,13:00,,御園座,TAKARAZUKA MUSICAL ROMANCE『花より男子II』－Shooting STAR－,御園座,confirmed,,https://www.misonoza.co.jp/lineup/month260609.html
2026-06-19,13:00,,御園座,TAKARAZUKA MUSICAL ROMANCE『花より男子II』－Shooting STAR－,御園座,confirmed,,https://www.misonoza.co.jp/lineup/month260609.html
2026-06-20,11:00,,御園座,TAKARAZUKA MUSICAL ROMANCE『花より男子II』－Shooting STAR－,御園座,confirmed,,https://www.misonoza.co.jp/lineup/month260609.html
2026-06-20,15:30,,御園座,TAKARAZUKA MUSICAL ROMANCE『花より男子II』－Shooting STAR－,御園座,confirmed,,https://www.misonoza.co.jp/lineup/month260609.html
2026-06-21,11:00,,御園座,TAKARAZUKA MUSICAL ROMANCE『花より男子II』－Shooting STAR－,御園座,confirmed,,https://www.misonoza.co.jp/lineup/month260609.html
2026-06-21,15:30,,御園座,TAKARAZUKA MUSICAL ROMANCE『花より男子II』－Shooting STAR－,御園座,confirmed,,https://www.misonoza.co.jp/lineup/month260609.html
2026-06-23,11:00,,御園座,TAKARAZUKA MUSICAL ROMANCE『花より男子II』－Shooting STAR－,御園座,confirmed,,https://www.misonoza.co.jp/lineup/month260609.html
2026-06-23,15:30,,御園座,TAKARAZUKA MUSICAL ROMANCE『花より男子II』－Shooting STAR－,御園座,confirmed,,https://www.misonoza.co.jp/lineup/month260609.html
2026-06-24,13:00,,御園座,TAKARAZUKA MUSICAL ROMANCE『花より男子II』－Shooting STAR－,御園座,confirmed,,https://www.misonoza.co.jp/lineup/month260609.html
2026-06-25,11:00,,御園座,TAKARAZUKA MUSICAL ROMANCE『花より男子II』－Shooting STAR－,御園座,confirmed,,https://www.misonoza.co.jp/lineup/month260609.html
2026-06-25,15:30,,御園座,TAKARAZUKA MUSICAL ROMANCE『花より男子II』－Shooting STAR－,御園座,confirmed,,https://www.misonoza.co.jp/lineup/month260609.html
2026-06-27,11:00,,御園座,TAKARAZUKA MUSICAL ROMANCE『花より男子II』－Shooting STAR－,御園座,confirmed,,https://www.misonoza.co.jp/lineup/month260609.html
