date,time,end_time,venue,event_name,session_info,availability_status
2026-09-10,10:00:00,21:15:00,IGアリーナ,バスケットボール,男子予選フェーズ （4試合）,LIMITED
2026-09-11,10:00:00,21:15:00,IGアリーナ,バスケットボール,男子予選フェーズ （4試合）,LIMITED
2026-09-12,10:00:00,21:15:00,IGアリーナ,バスケットボール,男子予選フェーズ （4試合）,LIMITED
2026-09-13,10:00:00,21:15:00,IGアリーナ,バスケットボール,男子予選フェーズ （4試合）,LIMITED
2026-09-14,10:00:00,15:15:00,IGアリーナ,バスケットボール,男子予選フェーズ （2試合）,BUY
2026-09-15,15:30:00,21:00:00,CSアセット港サッカー場,サッカー,男子1次ラウンド（2試合）,BUY
2026-09-15,19:30:00,21:30:00,パロマ瑞穂ラグビー場,サッカー,男子1次ラウンド（1試合）,BUY
2026-09-16,10:00:00,21:15:00,IGアリーナ,バスケットボール,男子準々決勝 （4試合）,LIMITED
2026-09-16,10:00:00,21:20:00,小牧市スポーツ公園総合体育館,バレーボール,女子ファーストラウンド（4試合）,LIMITED
2026-09-16,14:00:00,21:00:00,ウェーブスタジアム刈谷,サッカー,男子1次ラウンド（2試合）,BUY
2026-09-16,16:00:00,21:30:00,豊田スタジアム,サッカー,男子1次ラウンド（2試合）,BUY
2026-09-17,09:00:00,12:00:00,愛知県口論義運動公園,クリケット（T20）,女子準々決勝,BUY
2026-09-17,10:00:00,21:20:00,小牧市スポーツ公園総合体育館,バレーボール,女子ファーストラウンド（4試合）,LIMITED
2026-09-17,13:00:00,21:15:00,IGアリーナ,バスケットボール,女子予選フェーズ （3試合）,BUY
2026-09-17,14:00:00,17:00:00,愛知県口論義運動公園,クリケット（T20）,女子準々決勝,BUY
2026-09-18,09:00:00,12:00:00,愛知県口論義運動公園,クリケット（T20）,女子準々決勝,BUY
2026-09-18,09:00:00,18:45:00,東山公園テニスセンター,ソフトテニス,男子団体 ／ 予選ラウンド～準々決勝   ／ 女子団体 ／ 予選ラウンド～準々決勝,LIMITED
2026-09-18,10:00:00,21:15:00,IGアリーナ,バスケットボール,女子予選フェーズ （2試合） ／ 男子準決勝 （2試合）,LIMITED
2026-09-18,10:00:00,21:20:00,小牧市スポーツ公園総合体育館,バレーボール,女子ファーストラウンド（4試合）,LIMITED
2026-09-18,14:00:00,17:00:00,愛知県口論義運動公園,クリケット（T20）,女子準々決勝,BUY
2026-09-18,15:30:00,21:00:00,CSアセット港サッカー場,サッカー,男子1次ラウンド（2試合）,BUY
2026-09-18,19:30:00,21:30:00,パロマ瑞穂ラグビー場,サッカー,男子1次ラウンド（1試合）,BUY
2026-09-19,10:00:00,14:15:00,IGアリーナ,バスケットボール,女子予選フェーズ （1試合）,BUY
2026-09-19,18:00:00,20:00:00,パロマ瑞穂スタジアム,開会式,セレモニー,SOLD_OUT
2026-09-20,09:00:00,12:00:00,パロマ瑞穂アリーナ,セパタクロー,男子チームレグ 予選,SOLD_OUT
2026-09-20,09:00:00,12:00:00,愛知県口論義運動公園,クリケット（T20）,女子準決勝,BUY
2026-09-20,09:00:00,16:30:00,愛知県武道館,武術太極拳,男子長拳 決勝 ／ 女子太極拳・太極剣 決勝 / メダル,SOLD_OUT
2026-09-20,09:00:00,20:15:00,東山公園テニスセンター,ソフトテニス,男子団体 ／ 準決勝～決勝   ／ 女子団体 ／ 準決勝～決勝 / メダル,SOLD_OUT
2026-09-20,09:30:00,20:30:00,一宮市総合体育館,バドミントン,女子団体 1回戦 ／ 男子団体 1回戦,SOLD_OUT
2026-09-20,10:00:00,21:55:00,IGアリーナ,バスケットボール,女子予選フェーズ （2試合） ／ 男子3位決定戦 ／ 男子決勝 / メダル,LIMITED
2026-09-20,10:00:00,22:00:00,スカイホール豊田,卓球,女子団体予選リーグ ラウンド１、２ ／ 男子団体予選リーグ ラウンド1、２,LIMITED
2026-09-20,10:00:00,21:20:00,小牧市スポーツ公園総合体育館,バレーボール,女子準々決勝（4試合）,SOLD_OUT
2026-09-20,13:30:00,19:00:00,春日井市総合体育館,ハンドボール,男子予選ラウンド（3試合）,SOLD_OUT
2026-09-20,14:00:00,21:00:00,ウェーブスタジアム刈谷,サッカー,男子1次ラウンド（2試合）,LIMITED
2026-09-20,14:00:00,17:00:00,パロマ瑞穂アリーナ,セパタクロー,女子チームレグ 予選,SOLD_OUT
